OpenAI,https://openai.com
Google DeepMind,https://deepmind.google
Anthropic,https://www.anthropic.com
Meta AI / FAIR,https://ai.meta.com
Microsoft Research AI,https://www.microsoft.com/en-us/research/theme/artificial-intelligence/
Allen Institute for AI (AI2),https://allenai.org
Mila – Quebec AI Institute,https://mila.quebec
Cohere,https://cohere.com
Hugging Face Research (BigScience),https://huggingface.co
EleutherAI,https://www.eleuther.ai
LAION,https://laion.ai
Mistral AI,https://mistral.ai
Stability AI (StableLM),https://stability.ai
Inflection AI,https://inflection.ai
Perplexity AI,https://www.perplexity.ai
Character.AI,https://character.ai
Reka AI,https://www.reka.ai
Together AI,https://www.together.ai
Aleph Alpha,https://aleph-alpha.com
LightOn,https://www.lighton.ai
MosaicML (Databricks),https://www.mosaicml.com
NVIDIA Research,https://research.nvidia.com
xAI,https://x.ai
Imbue (formerly Generally Intelligent),https://imbue.com
Writer (Palmyra LLMs),https://writer.com/llms/
IBM Research / Watsonx AI Lab,https://www.ibm.com/research
Sas,https://www.sas.com/nl_nl/home.html
